title,href,day
제5회 궁중문화축전 자원활동가 '리더 궁둥이' 모집,http://www.royalpalace.go.kr/content/board/view.asp?seq=569&page=7&c1=&c2=,2019-02-14
2019년 02월 27일(수) '문화가 있는 날' 경복궁 무료개방 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=571&page=7&c1=&c2=,2019-02-21
3.1운동 100주년 기념 경복궁 무료 개방 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=572&page=7&c1=&c2=,2019-02-21
2019년 03월 01일(금) 경복궁 출입 통제 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=573&page=7&c1=&c2=,2019-02-27
2019년 03월 01일(금) 수문장 교대의식 행사취소 알림 및 경복궁 해설 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=574&page=7&c1=&c2=,2019-02-28
[재공지] 2019년 03월 01일(금) 경복궁 출입 통제 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=575&page=7&c1=&c2=,2019-02-28
2019년 03월 04일(월) 수문장 교대의식 행사 변경 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=576&page=7&c1=&c2=,2019-03-04
경복궁관리소 공무직수습 및 기간제근로자 채용공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=577&page=7&c1=&c2=,2019-03-07
경복궁관리소 기간제 문화재안내해설사가급(일본어) 채용공고 (재공고),http://www.royalpalace.go.kr/content/board/view.asp?seq=578&page=7&c1=&c2=,2019-03-15
2019년 03월 20일(수) '수문장 교대의식' 오후(14시) 행사 취소 알림 ,http://www.royalpalace.go.kr/content/board/view.asp?seq=579&page=7&c1=&c2=,2019-03-20
경복궁관리소 공무직수습 및 기간제근로자 서류전형 합격자 발표 및 면접시험 일정공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=580&page=6&c1=&c2=,2019-03-21
2019년도 집옥재(팔우정 포함) 작은도서관 개방 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=581&page=6&c1=&c2=,2019-03-25
경복궁관리소 기간제 근로자 서류전형 합격자 발표 및 면접일정 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=582&page=6&c1=&c2=,2019-03-25
「2019년 경회루 특별관람」 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=583&page=6&c1=&c2=,2019-03-25
2019년 03월 27일(수) '문화가 있는 날' 경복궁 무료개방 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=584&page=6&c1=&c2=,2019-03-27
문화가 있는 날 특별행사 '왕가의 산책' 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=585&page=6&c1=&c2=,2019-03-27
'2019년 경복궁 수문장 임명의식' 행사안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=586&page=6&c1=&c2=,2019-03-28
경복궁관리소 공무직수습 및 기간제근로자 최종합격자 명단 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=587&page=6&c1=&c2=,2019-03-28
경복궁관리소 공무직수습 및 기간제근로자 추가 합격자 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=588&page=6&c1=&c2=,2019-03-29
경복궁관리소 공무직수습 및 기간제 휴직대체 근로자 채용 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=589&page=6&c1=&c2=,2019-04-04
「2019년 경복궁 야간 특별관람」 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=590&page=5&c1=&c2=,2019-04-09
광화문 매표소 혼잡시 신속한 입장 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=591&page=5&c1=&c2=,2019-04-11
경복궁 홈페이지 서비스 일시 중지 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=592&page=5&c1=&c2=,2019-04-16
제5회 궁중문화축전 준비 및 행사기간 중 경회루 특별관람 중지 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=593&page=5&c1=&c2=,2019-04-16
경복궁관리소 공무직수습 및 기간제근로자 서류전형 합격자 발표 및 면접시험 일정공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=594&page=5&c1=&c2=,2019-04-16
2019년 04월 19일(금) 수문장교대의식 행사 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=595&page=5&c1=&c2=,2019-04-18
경복궁관리소 공무직수습 및 기간제근로자 최종합격자 명단 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=596&page=5&c1=&c2=,2019-04-19
2019년 경복궁에서 세종대왕을 만나다 교육프로그램 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=597&page=5&c1=&c2=,2019-04-19
2019년 상반기 집옥재 왕실문화강좌 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=598&page=5&c1=&c2=,2019-04-22
2019년 「할머니가 들려주는 경복궁이야기」 교육프로그램 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=599&page=5&c1=&c2=,2019-04-22
2019년 4월 문화가 있는 날(4.24.) 행사 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=600&page=4&c1=&c2=,2019-04-23
<2019년 봄 여행주간 경복궁 관람료 할인 안내>,http://www.royalpalace.go.kr/content/board/view.asp?seq=601&page=4&c1=&c2=,2019-04-23
「궁궐 호위군 사열의식-첩종」행사 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=602&page=4&c1=&c2=,2019-05-03
"<5월 5일(일) 어린이날, 어린이 동반 가족 2인 무료입장 알림>",http://www.royalpalace.go.kr/content/board/view.asp?seq=603&page=4&c1=&c2=,2019-05-03
「2019년 5월 경복궁 야간 특별관람」안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=604&page=4&c1=&c2=,2019-05-08
경복궁관리소 공무직수습 및 기간제근로자 채용공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=605&page=4&c1=&c2=,2019-05-09
로 인한 주차장 사용중지 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=606&page=4&c1=&c2=,2019-05-12
 공연 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=607&page=4&c1=&c2=,2019-05-19
경복궁관리소 공무직수습 및 기간제근로자 서류전형 합격자 발표 및 면접시험 일정공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=608&page=4&c1=&c2=,2019-05-21
경복궁관리소 공무직수습 및 기간제근로자 최종합격자 명단 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=609&page=4&c1=&c2=,2019-05-24
「2019년 6월 경복궁 야간 특별관람」안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=610&page=3&c1=&c2=,2019-06-04
경복궁관리소 공무직수습 및 기간제 휴직대체 근로자 채용 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=611&page=3&c1=&c2=,2019-06-04
경복궁관리소 공무직수습 전산원 채용 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=612&page=3&c1=&c2=,2019-06-05
로 인한 육상궁 및 연호궁 관람중지 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=613&page=3&c1=&c2=,2019-06-14
경복궁관리소 매수표원(공무직수습)  채용공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=614&page=3&c1=&c2=,2019-06-14
경복궁관리소 공무직수습 및 기간제근로자 서류전형 합격자 발표 및 면접시험 일정공고(전산원 및 문화재해설사가급),http://www.royalpalace.go.kr/content/board/view.asp?seq=615&page=3&c1=&c2=,2019-06-17
(6/24~7/1),http://www.royalpalace.go.kr/content/board/view.asp?seq=616&page=3&c1=&c2=,2019-06-17
경복궁관리소 공무직수습 및 기간제근로자 채용 최종합격자 명단공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=617&page=3&c1=&c2=,2019-06-20
경복궁관리소 공무직수습(매수표원) 채용 서류전형합격자 및 면접일정공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=618&page=3&c1=&c2=,2019-06-24
경복궁관리소 공무직수습(매수표원) 최종합격자 명단 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=619&page=3&c1=&c2=,2019-06-27
경복궁관리소 공무직(시설물관리원나급) 수습 추가 합격자 명단 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=620&page=2&c1=&c2=,2019-06-27
경복궁관리소 공무직 수습 근로자(매수표원) 추가 합격자 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=621&page=2&c1=&c2=,2019-07-03
「2019년 7월 경복궁 야간 특별관람」안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=622&page=2&c1=&c2=,2019-07-05
2019년 고궁청소년문화학교 운영 및 예약 안내 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=623&page=2&c1=&c2=,2019-07-09
 행사[7월 25일(목)] 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=624&page=2&c1=&c2=,2019-07-25
 행사[7월 26일(금)] 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=625&page=2&c1=&c2=,2019-07-26
 행사[7월 27일(토)] 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=626&page=2&c1=&c2=,2019-07-27
 행사[7월 28일(일)] 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=627&page=2&c1=&c2=,2019-07-28
 행사[7월 31일(수)] 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=628&page=2&c1=&c2=,2019-07-31
2019년 경복궁관리소 공무직 등 채용 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=629&page=2&c1=&c2=,2019-08-06
제74주년 광복절 맞이 경복궁 무료개방(Free Admission) 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=630&page=1&c1=&c2=,2019-08-09
2019년  「경복궁 근정전 내부 특별관람」  안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=632&page=1&c1=&c2=,2019-08-13
2019년 하반기  안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=633&page=1&c1=&c2=,2019-08-14
2019년 하반기 집옥재 왕실문화강좌 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=634&page=1&c1=&c2=,2019-08-19
2019 왕실의료특강 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=635&page=1&c1=&c2=,2019-08-19
2019년 하반기 '할머니가 들려주는 경복궁 이야기' 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=636&page=1&c1=&c2=,2019-08-19
「칠궁 이안청 보수정비공사」기간 연장 및 육상궁ㆍ연호궁 관람중지 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=637&page=1&c1=&c2=,2019-08-22
「2019년 9월 경복궁 야간 특별관람」안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=638&page=1&c1=&c2=,2019-08-22
2019년 추석연휴 경복궁 무료개방(Free Admission) 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=639&page=1&c1=&c2=,2019-08-23
경복궁관리소 공무직 등 근로자 서류전형합격자 발표 및 면접시험일정 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=640&page=1&c1=&c2=,2019-08-23
2019년 경복궁관리소 공무직 등 근로자 최종합격자 명단 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=641&page=1&c1=&c2=,2019-08-28
「경복궁 환전소 영업종료」 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=642&page=1&c1=&c2=,2019-08-29
2019년 하반기 <경복궁 생과방> 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=643&page=1&c1=&c2=,2019-08-30
2019 왕실의료특강 강의 순서 변경 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=644&page=1&c1=&c2=,2019-09-05
<경복궁 별빛야행> 행사 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=645&page=1&c1=&c2=,2019-09-05
<경복궁 고궁음악회(주간)> 이번주 행사취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=646&page=1&c1=&c2=,2019-09-06
<경복궁 근정전 내부 특별관람[2019.09.07.(토)]> 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=647&page=1&c1=&c2=,2019-09-06
태풍 링링으로 인한 관람중지(통제)안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=648&page=1&c1=&c2=,2019-09-07
<경복궁 별빛야행> 9월 7일(토) 행사 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=649&page=1&c1=&c2=,2019-09-07
 행사 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=645&page=1&c1=&c2=,2019-09-05
 이번주 행사취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=646&page=1&c1=&c2=,2019-09-06
 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=647&page=1&c1=&c2=,2019-09-06
 9월 7일(토) 행사 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=649&page=1&c1=&c2=,2019-09-07
2019년 하반기 「수라간 시식공감」 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=650&page=1&c1=&c2=,2019-09-08
2019년 경복궁관리소 공무직 근로자 채용 공고,http://www.royalpalace.go.kr/content/board/view.asp?seq=651&page=1&c1=&c2=,2019-09-11
<경복궁 고궁음악회(주간)> 공연 우천 취소 알림,http://www.royalpalace.go.kr/content/board/view.asp?seq=652&page=1&c1=&c2=,2019-09-14
<2019년 가을 여행주간> 기간(9/16~9/29) 중 경복궁 관람료 할인 안내,http://www.royalpalace.go.kr/content/board/view.asp?seq=653&page=1&c1=&c2=,2019-09-15
